CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,91,1,3,69.25,"2,517.00",267.00,150,"2,445.35","2,539.95",150,"22,850.00","12,225",0.90,0.95,900,-0.10,0.95,36.09,"2,14,764","33,488","79,033",
,1,-,-,-,"2,154.85",-,150,"2,399.05","2,491.05",150,"22,900.00",900,0.95,1.05,525,-0.05,1.00,35.57,"1,77,559","20,240","50,881",
,-,-,-,-,-,-,150,"2,350.55","2,436.90",150,"22,950.00",900,1.05,1.25,"1,350",-0.05,1.05,35.05,"47,435","1,745","2,523",
,239,-52,69,57.88,"2,340.35",134.60,75,"2,296.70","2,386.50",75,"23,000.00","6,300",1.15,1.25,900,0.10,1.20,34.83,"2,32,321","26,603","57,825",
,-,-,-,-,-,-,150,"2,251.20","2,329.60",150,"23,050.00",900,1.10,1.20,"1,425",-0.05,1.15,33.96,"52,562",484,"1,554",
,1,-,-,-,"2,080.00",-,150,"2,206.90","2,292.60",150,"23,100.00",900,1.15,1.30,900,-0.05,1.15,33.26,"89,216","5,010","17,813",
,1,-,-,-,"1,757.35",-,150,"2,161.45","2,234.50",150,"23,150.00",675,1.20,1.30,"1,200",0.05,1.20,32.70,"51,665","1,969","2,715",
,5,-,-,-,"1,825.00",-,150,"2,112.50","2,197.30",150,"23,200.00","58,200",1.05,1.15,"17,700",-0.15,1.05,31.53,"1,18,812","11,952","20,650",
,1,-,-,-,"1,657.35",-,150,"2,064.05","2,123.25",150,"23,250.00",900,1.15,1.25,375,-0.15,1.15,31.13,"59,859",9,"1,752",
,6,-,-,-,"1,825.35",-,450,"1,990.30","2,070.95",150,"23,300.00",900,1.20,1.30,675,-0.05,1.25,30.70,"97,353","1,627","8,249",
,1,-,-,-,"1,549.85",-,150,"1,967.00","2,010.05",150,"23,350.00",900,1.20,1.30,"1,875",-0.05,1.30,30.12,"39,532",632,"1,361",
,9,-,-,-,"1,810.00",-,450,"1,893.25","1,986.25",150,"23,400.00",900,1.15,1.35,"4,275",-0.10,1.30,29.40,"1,11,565",781,"6,571",
,1,-,-,-,"1,495.15",-0.25,450,"1,838.20","1,911.40",150,"23,450.00",750,1.30,1.65,"1,425",-0.20,1.30,28.68,"43,629",227,"1,102",
,270,-4,9,47.36,"1,841.00",255.85,300,"1,804.15","1,846.70",75,"23,500.00","6,825",1.40,1.55,"2,700",-0.05,1.50,28.43,"3,58,621","8,559","54,204",
,3,-,-,-,"1,529.20",-,150,"1,758.70","1,832.85",150,"23,550.00","2,175",1.45,1.60,900,-0.20,1.40,27.48,"76,082",432,"1,699",
,16,-4,7,45.49,"1,742.00",268.95,75,"1,711.10","1,780.35",75,"23,600.00",900,1.50,1.60,150,-0.05,1.55,27.08,"1,30,486","-4,746","8,945",
,8,-,-,-,"1,544.80",-,150,"1,666.05","1,728.50",150,"23,650.00",900,1.30,1.75,150,-0.10,1.60,26.45,"65,320","1,405","3,468",
,21,-1,3,47.13,"1,656.90",173.50,150,"1,607.00","1,666.30",150,"23,700.00","1,575",1.65,1.70,"1,200",-0.15,1.65,25.81,"1,52,407","2,748","20,116",
,4,-,5,48.13,"1,616.50",151.50,150,"1,556.60","1,614.40",150,"23,750.00",900,1.50,1.90,900,-0.10,1.75,25.25,"95,839","4,890","7,865",
,50,-3,3,46.41,"1,564.00",168.05,150,"1,512.55","1,564.70",75,"23,800.00","2,100",1.75,1.90,"1,800",-0.05,1.85,24.68,"2,66,169","8,702","35,681",
,7,-,-,-,"1,358.50",-,150,"1,472.80","1,516.35",150,"23,850.00",900,1.75,2.20,"1,650",-,1.95,24.10,"1,20,414","1,205","5,500",
,61,1,9,42.25,"1,455.75",148.80,150,"1,423.45","1,470.90",150,"23,900.00",900,1.90,2.05,"1,275",0.05,2.05,23.50,"2,63,689","-11,038","26,880",
,5,-,-,-,"1,203.65",-,150,"1,374.05","1,415.90",150,"23,950.00","2,625",1.65,2.30,675,-0.05,2.10,22.81,"1,09,453","-1,396","6,371",
,"1,496",-392,"1,617",36.73,"1,342.00",134.10,300,"1,295.50","1,349.10",150,"24,000.00","2,100",2.20,2.40,900,-0.10,2.25,22.25,"8,36,874","8,013","1,28,079",
,18,6,20,41.42,"1,318.80",156.15,450,"1,245.10","1,343.35",450,"24,050.00","1,125",2.25,2.35,675,-0.15,2.35,21.62,"1,49,459",935,"5,702",
,137,-4,4,40.05,"1,268.00",155.50,450,"1,195.55","1,292.85",75,"24,100.00",900,2.30,2.55,"2,175",-0.20,2.35,20.85,"4,42,026","-8,425","46,821",
,71,1,5,36.81,"1,207.65",143.60,450,"1,137.75","1,244.85",450,"24,150.00",900,2.40,2.65,900,-0.05,2.70,20.46,"1,60,540","4,184","15,152",
,370,-8,93,31.34,"1,138.10",126.35,75,"1,137.00","1,150.35",75,"24,200.00",300,2.45,2.65,"1,800",-0.45,2.45,19.42,"7,22,258","16,963","71,059",
,42,-,2,31.40,"1,093.15",132.20,75,"1,046.70","1,099.80",75,"24,250.00",900,2.60,2.85,900,-0.30,2.70,18.90,"3,30,978","4,516","17,759",
,405,-17,290,29.99,"1,041.90",128.95,75,"1,038.35","1,048.90",75,"24,300.00",900,2.80,2.95,"1,800",-0.40,2.75,18.16,"6,73,772","17,058","72,793",
,257,2,10,29.20,993.50,130.30,300,947.45,"1,000.85",300,"24,350.00",900,3.00,3.10,"1,200",-0.40,3.00,17.59,"2,95,536","-17,739","19,829",
,417,-36,141,29.03,948.35,134.10,300,938.45,949.80,300,"24,400.00","13,950",3.20,3.25,900,-0.45,3.20,16.95,"6,49,711","7,637","61,805",
,190,-6,104,28.11,899.70,135.60,300,887.20,901.50,300,"24,450.00","2,025",3.35,3.45,900,-0.45,3.35,16.25,"3,49,479","3,653","23,585",
,"3,004",-576,"2,491",26.06,845.25,132.15,300,837.55,847.15,300,"24,500.00","1,950",3.60,3.65,900,-0.60,3.60,15.61,"10,46,148","58,905","1,66,675",
,262,-4,55,25.00,795.90,130.25,300,785.45,802.25,300,"24,550.00",375,3.70,3.85,"3,975",-0.75,3.70,14.84,"4,50,712","20,569","42,370",
,"1,727",-329,"2,716",23.54,744.50,128.35,300,741.45,747.75,300,"24,600.00","9,675",4.00,4.10,450,-0.80,4.00,14.18,"6,18,567","15,246","78,832",
,480,-28,302,23.12,698.90,133.10,300,687.90,699.80,300,"24,650.00",900,4.00,4.15,"1,200",-1.15,4.10,13.39,"3,87,788","5,613","54,321",
,"2,656",-256,"2,417",21.56,647.00,129.25,300,642.70,647.00,75,"24,700.00",900,4.40,4.50,"1,200",-1.75,4.45,12.71,"7,67,441","25,425","1,09,812",
,709,-171,"1,069",20.41,597.55,130.20,300,589.50,601.90,300,"24,750.00",900,4.60,4.70,"1,200",-2.50,4.70,11.95,"4,54,392","2,464","47,828",
,"4,115","-1,683","13,878",18.89,546.00,127.00,375,545.10,547.90,300,"24,800.00",750,5.05,5.15,"1,125",-3.60,5.05,11.21,"7,38,728","12,194","87,770",
,"1,225",-464,"4,093",17.77,496.95,125.65,300,481.65,501.55,300,"24,850.00","1,350",5.50,5.60,900,-5.00,5.65,10.53,"5,53,833","34,532","66,493",
,"5,227","-2,240","25,405",16.60,447.80,123.35,450,443.40,449.20,450,"24,900.00","1,200",6.45,6.55,900,-7.15,6.50,9.88,"10,56,993","5,184","97,711",
,"1,816","-1,070","15,900",15.53,399.70,121.50,300,394.60,404.50,300,"24,950.00","2,025",7.60,7.70,900,-9.95,7.75,9.27,"8,20,088","7,032","60,180",
,"38,124","-9,392","2,31,848",14.02,348.65,114.60,75,348.70,352.15,450,"25,000.00",750,9.35,9.50,525,-14.40,9.35,8.65,"22,02,925","-6,567","1,76,455",
,"13,948","-8,477","1,11,562",13.18,303.15,110.35,300,299.85,303.65,225,"25,050.00","1,575",11.50,11.65,750,-20.45,11.65,8.06,"13,03,462","-17,563","73,587",
,"33,660","-25,585","6,76,122",11.49,251.40,96.50,300,252.80,256.40,225,"25,100.00","1,500",14.65,14.70,225,-29.15,14.65,7.43,"26,97,871","19,683","1,63,384",
,"13,659","-32,936","8,56,869",11.02,211.00,90.40,300,209.05,211.50,225,"25,150.00",600,19.60,19.65,225,-40.00,19.60,6.90,"22,17,897","35,089","1,11,567",
,"43,382","-87,711","31,91,240",10.10,168.40,77.35,300,167.70,168.55,600,"25,200.00",450,26.75,27.00,"1,125",-52.95,27.00,6.40,"50,01,916","91,935","1,83,902",
,"35,998","-21,615","36,42,937",9.15,127.70,61.55,300,128.50,129.00,525,"25,250.00",225,37.10,37.25,225,-68.20,37.10,5.83,"47,97,112","96,856","1,15,274",
,"1,14,941","11,168","73,36,964",8.58,94.15,47.65,300,93.65,94.05,225,"25,300.00",150,51.90,52.30,75,-84.00,51.90,5.25,"69,60,123","1,14,858","1,35,366",
,"89,652","25,709","53,43,439",8.02,65.05,33.15,"1,125",65.10,65.40,375,"25,350.00",150,73.10,73.45,225,-98.20,73.35,4.64,"26,60,866","52,365","56,157",
,"1,36,934","19,951","58,38,822",7.63,42.70,21.15,"1,275",42.70,43.00,900,"25,400.00",300,100.20,100.90,675,-109.50,101.40,3.64,"18,31,398","40,504","45,528",
,"88,081","43,221","31,86,797",7.41,26.85,12.35,600,26.65,26.90,75,"25,450.00",150,134.20,135.25,300,-119.50,133.75,-,"4,65,408","8,795","9,676",
,"1,49,215","11,746","47,44,067",7.33,16.55,6.45,"2,025",16.40,16.55,675,"25,500.00",225,173.45,174.85,300,-123.60,175.00,-,"5,12,371","10,436","16,322",
,"62,286","-14,078","23,33,212",7.35,10.05,3.45,75,10.00,10.05,450,"25,550.00",225,217.05,218.85,300,-127.30,218.10,-,"67,176",369,"1,688",
,"1,05,364","7,870","25,14,108",7.45,6.15,1.50,"2,100",6.15,6.20,225,"25,600.00",525,262.45,264.55,300,-130.65,262.40,-,"73,020","2,116","3,683",
,"58,073","26,321","11,44,788",7.65,3.90,0.45,"1,575",3.75,3.90,"1,725","25,650.00",300,310.05,317.20,300,-130.55,311.00,-,"11,176",313,485,
,"84,922","13,434","13,16,307",7.95,2.65,-,225,2.60,2.65,"2,400","25,700.00",300,358.05,364.95,300,-129.80,359.90,-,"9,291",449,"2,014",
,"38,283","9,664","7,69,435",8.23,1.80,-0.30,75,1.85,1.95,75,"25,750.00",300,405.45,416.60,300,-131.25,409.60,-,"1,501",51,239,
,"84,781","-1,781","10,82,467",8.72,1.45,-0.40,"23,550",1.45,1.50,"18,225","25,800.00",300,455.80,465.10,300,-130.25,459.55,-,"2,883",98,679,
,"25,358","1,451","3,38,227",9.31,1.30,-0.20,"4,125",1.30,1.35,"36,225","25,850.00",300,504.65,545.90,300,-135.95,503.45,-,255,-12,66,
,"41,976","-5,411","4,12,633",9.93,1.20,-0.20,"21,075",1.15,1.20,"9,600","25,900.00",300,553.20,568.60,300,-130.90,556.90,-,594,16,117,
